name,value,datum,datum_parsed,rok,mesic,den,denvroce,nazev,grp,date_aligned
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,-888447.84,13. 1. 2017,2017-01-13,2017,1,13,13,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-01-13
Daň z hazardních her vyjma                       daně z technických her,0,13. 1. 2017,2017-01-13,2017,1,13,13,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-01-13
DPH,41371964828.92,31. 1. 2017,2017-01-31,2017,1,31,31,DPH,2017 DPH,2000-01-31
DPPO,1209727179.95,31. 1. 2017,2017-01-31,2017,1,31,31,DPPO,2017 DPPO,2000-01-31
DPFO závislá činnost,14806941973.98,31. 1. 2017,2017-01-31,2017,1,31,31,DPFO závislá činnost,2017 DPFO závislá činnost,2000-01-31
DPFO zvláštní sazba,1673781977.36,31. 1. 2017,2017-01-31,2017,1,31,31,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-01-31
DPFO podávajících přiznání,247386963.2,31. 1. 2017,2017-01-31,2017,1,31,31,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-01-31
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,10916402.16,31. 1. 2017,2017-01-31,2017,1,31,31,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-01-31
Daň z hazardních her vyjma                       daně z technických her,0,31. 1. 2017,2017-01-31,2017,1,31,31,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-01-31
DPH,42886444782.27,15. 2. 2017,2017-02-15,2017,2,15,46,DPH,2017 DPH,2000-02-15
DPPO,2035982860.24,15. 2. 2017,2017-02-15,2017,2,15,46,DPPO,2017 DPPO,2000-02-15
DPFO závislá činnost,22590499126.79,15. 2. 2017,2017-02-15,2017,2,15,46,DPFO závislá činnost,2017 DPFO závislá činnost,2000-02-15
DPFO zvláštní sazba,2027393993.04,15. 2. 2017,2017-02-15,2017,2,15,46,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-02-15
DPFO podávajících přiznání,431547558.38,15. 2. 2017,2017-02-15,2017,2,15,46,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-02-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,33592485.16,15. 2. 2017,2017-02-15,2017,2,15,46,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-02-15
Daň z hazardních her vyjma                       daně z technických her,0,15. 2. 2017,2017-02-15,2017,2,15,46,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-02-15
DPH,58265768666,28. 2. 2017,2017-02-28,2017,2,28,59,DPH,2017 DPH,2000-02-28
DPPO,3032521792.05,28. 2. 2017,2017-02-28,2017,2,28,59,DPPO,2017 DPPO,2000-02-28
DPFO závislá činnost,27642203625.24,28. 2. 2017,2017-02-28,2017,2,28,59,DPFO závislá činnost,2017 DPFO závislá činnost,2000-02-28
DPFO zvláštní sazba,2476571116.81,28. 2. 2017,2017-02-28,2017,2,28,59,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-02-28
DPFO podávajících přiznání,751056954.72,28. 2. 2017,2017-02-28,2017,2,28,59,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-02-28
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,785565054,28. 2. 2017,2017-02-28,2017,2,28,59,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-02-28
Daň z hazardních her vyjma                       daně z technických her,0,28. 2. 2017,2017-02-28,2017,2,28,59,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-02-28
DPH,60934895352.24,15. 3. 2017,2017-03-15,2017,3,15,74,DPH,2017 DPH,2000-03-15
DPPO,31481788678.93,15. 3. 2017,2017-03-15,2017,3,15,74,DPPO,2017 DPPO,2000-03-15
DPFO závislá činnost,34211103804.21,15. 3. 2017,2017-03-15,2017,3,15,74,DPFO závislá činnost,2017 DPFO závislá činnost,2000-03-15
DPFO zvláštní sazba,2864302636.17,15. 3. 2017,2017-03-15,2017,3,15,74,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-03-15
DPFO podávajících přiznání,2760988844.37,15. 3. 2017,2017-03-15,2017,3,15,74,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-03-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,808216975,15. 3. 2017,2017-03-15,2017,3,15,74,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-03-15
Daň z hazardních her vyjma                       daně z technických her,0,15. 3. 2017,2017-03-15,2017,3,15,74,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-03-15
DPH,81875941917,31. 3. 2017,2017-03-31,2017,3,31,90,DPH,2017 DPH,2000-03-31
DPPO,38619156357.04,31. 3. 2017,2017-03-31,2017,3,31,90,DPPO,2017 DPPO,2000-03-31
DPFO závislá činnost,38378406060.75,31. 3. 2017,2017-03-31,2017,3,31,90,DPFO závislá činnost,2017 DPFO závislá činnost,2000-03-31
DPFO zvláštní sazba,3373332804.16,31. 3. 2017,2017-03-31,2017,3,31,90,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-03-31
DPFO podávajících přiznání,7003814295.87,31. 3. 2017,2017-03-31,2017,3,31,90,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-03-31
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,811420672,31. 3. 2017,2017-03-31,2017,3,31,90,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-03-31
Daň z hazardních her vyjma                       daně z technických her,0,31. 3. 2017,2017-03-31,2017,3,31,90,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-03-31
DPH,83040973735.95,13. 4. 2017,2017-04-13,2017,4,13,103,DPH,2017 DPH,2000-04-13
DPPO,40799181291.12,13. 4. 2017,2017-04-13,2017,4,13,103,DPPO,2017 DPPO,2000-04-13
DPFO závislá činnost,44452173563.14,13. 4. 2017,2017-04-13,2017,4,13,103,DPFO závislá činnost,2017 DPFO závislá činnost,2000-04-13
DPFO zvláštní sazba,3832999053.03,13. 4. 2017,2017-04-13,2017,4,13,103,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-04-13
DPFO podávajících přiznání,7428914685.57,13. 4. 2017,2017-04-13,2017,4,13,103,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-04-13
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,814857308.24,13. 4. 2017,2017-04-13,2017,4,13,103,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-04-13
Daň z hazardních her vyjma                       daně z technických her,6446486,13. 4. 2017,2017-04-13,2017,4,13,103,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-04-13
DPH,122050354632.29,28. 4. 2017,2017-04-28,2017,4,28,118,DPH,2017 DPH,2000-04-28
DPPO,40761895169.41,28. 4. 2017,2017-04-28,2017,4,28,118,DPPO,2017 DPPO,2000-04-28
DPFO závislá činnost,48692656302.59,28. 4. 2017,2017-04-28,2017,4,28,118,DPFO závislá činnost,2017 DPFO závislá činnost,2000-04-28
DPFO zvláštní sazba,4458496458.93,28. 4. 2017,2017-04-28,2017,4,28,118,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-04-28
DPFO podávajících přiznání,-920304121.31,28. 4. 2017,2017-04-28,2017,4,28,118,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-04-28
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,831406389.24,28. 4. 2017,2017-04-28,2017,4,28,118,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-04-28
Daň z hazardních her vyjma                       daně z technických her,877281064,28. 4. 2017,2017-04-28,2017,4,28,118,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-04-28
DPH,124754973651.9,15. 5. 2017,2017-05-15,2017,5,15,135,DPH,2017 DPH,2000-05-15
DPPO,40900216965.29,15. 5. 2017,2017-05-15,2017,5,15,135,DPPO,2017 DPPO,2000-05-15
DPFO závislá činnost,57107984381.88,15. 5. 2017,2017-05-15,2017,5,15,135,DPFO závislá činnost,2017 DPFO závislá činnost,2000-05-15
DPFO zvláštní sazba,4950608174.06,15. 5. 2017,2017-05-15,2017,5,15,135,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-05-15
DPFO podávajících přiznání,-3268858956.33,15. 5. 2017,2017-05-15,2017,5,15,135,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-05-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,819925212.24,15. 5. 2017,2017-05-15,2017,5,15,135,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-05-15
Daň z hazardních her vyjma                       daně z technických her,811109838,15. 5. 2017,2017-05-15,2017,5,15,135,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-05-15
DPH,147565833810.99,31. 5. 2017,2017-05-31,2017,5,31,151,DPH,2017 DPH,2000-05-31
DPPO,41689811481.81,31. 5. 2017,2017-05-31,2017,5,31,151,DPPO,2017 DPPO,2000-05-31
DPFO závislá činnost,63068894329.24,31. 5. 2017,2017-05-31,2017,5,31,151,DPFO závislá činnost,2017 DPFO závislá činnost,2000-05-31
DPFO zvláštní sazba,5734843250.46,31. 5. 2017,2017-05-31,2017,5,31,151,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-05-31
DPFO podávajících přiznání,-3161857747.51,31. 5. 2017,2017-05-31,2017,5,31,151,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-05-31
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,819871465.4,31. 5. 2017,2017-05-31,2017,5,31,151,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-05-31
Daň z hazardních her vyjma                       daně z technických her,811315013,31. 5. 2017,2017-05-31,2017,5,31,151,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-05-31
DPH,149174043459.85,15. 6. 2017,2017-06-15,2017,6,15,166,DPH,2017 DPH,2000-06-15
DPPO,71753632709.53,15. 6. 2017,2017-06-15,2017,6,15,166,DPPO,2017 DPPO,2000-06-15
DPFO závislá činnost,72124582018.47,15. 6. 2017,2017-06-15,2017,6,15,166,DPFO závislá činnost,2017 DPFO závislá činnost,2000-06-15
DPFO zvláštní sazba,6339778359.3,15. 6. 2017,2017-06-15,2017,6,15,166,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-06-15
DPFO podávajících přiznání,-827096670.61,15. 6. 2017,2017-06-15,2017,6,15,166,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-06-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,820344079.4,15. 6. 2017,2017-06-15,2017,6,15,166,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-06-15
Daň z hazardních her vyjma                       daně z technických her,815979598,15. 6. 2017,2017-06-15,2017,6,15,166,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-06-15
DPH,179682343761.01,30. 6. 2017,2017-06-30,2017,6,30,181,DPH,2017 DPH,2000-06-30
DPPO,93268363661.08,30. 6. 2017,2017-06-30,2017,6,30,181,DPPO,2017 DPPO,2000-06-30
DPFO závislá činnost,77880528736.94,30. 6. 2017,2017-06-30,2017,6,30,181,DPFO závislá činnost,2017 DPFO závislá činnost,2000-06-30
DPFO zvláštní sazba,7325260697.93,30. 6. 2017,2017-06-30,2017,6,30,181,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-06-30
DPFO podávajících přiznání,1347791984.66,30. 6. 2017,2017-06-30,2017,6,30,181,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-06-30
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,820402727.4,30. 6. 2017,2017-06-30,2017,6,30,181,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-06-30
Daň z hazardních her vyjma                       daně z technických her,815445412,30. 6. 2017,2017-06-30,2017,6,30,181,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-06-30
DPH,181416337003.19,14. 7. 2017,2017-07-14,2017,7,14,195,DPH,2017 DPH,2000-07-14
DPPO,103019083903.08,14. 7. 2017,2017-07-14,2017,7,14,195,DPPO,2017 DPPO,2000-07-14
DPFO závislá činnost,86715479696.81,14. 7. 2017,2017-07-14,2017,7,14,195,DPFO závislá činnost,2017 DPFO závislá činnost,2000-07-14
DPFO zvláštní sazba,7904021844.13,14. 7. 2017,2017-07-14,2017,7,14,195,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-07-14
DPFO podávajících přiznání,2500572937.07,14. 7. 2017,2017-07-14,2017,7,14,195,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-07-14
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,820402889.4,14. 7. 2017,2017-07-14,2017,7,14,195,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-07-14
Daň z hazardních her vyjma                       daně z technických her,820954119,14. 7. 2017,2017-07-14,2017,7,14,195,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-07-14
DPH,219790433286.47,31. 7. 2017,2017-07-31,2017,7,31,212,DPH,2017 DPH,2000-07-31
DPPO,96967962899.61,31. 7. 2017,2017-07-31,2017,7,31,212,DPPO,2017 DPPO,2000-07-31
DPFO závislá činnost,92690933875.69,31. 7. 2017,2017-07-31,2017,7,31,212,DPFO závislá činnost,2017 DPFO závislá činnost,2000-07-31
DPFO zvláštní sazba,8957514566.5,31. 7. 2017,2017-07-31,2017,7,31,212,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-07-31
DPFO podávajících přiznání,2148619789.98,31. 7. 2017,2017-07-31,2017,7,31,212,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-07-31
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,841372201.36,31. 7. 2017,2017-07-31,2017,7,31,212,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-07-31
Daň z hazardních her vyjma                       daně z technických her,1629799482,31. 7. 2017,2017-07-31,2017,7,31,212,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-07-31
DPH,221931052229.78,15. 8. 2017,2017-08-15,2017,8,15,227,DPH,2017 DPH,2000-08-15
DPPO,95254405658.25,15. 8. 2017,2017-08-15,2017,8,15,227,DPPO,2017 DPPO,2000-08-15
DPFO závislá činnost,101579627680.29,15. 8. 2017,2017-08-15,2017,8,15,227,DPFO závislá činnost,2017 DPFO závislá činnost,2000-08-15
DPFO zvláštní sazba,9509960019.82,15. 8. 2017,2017-08-15,2017,8,15,227,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-08-15
DPFO podávajících přiznání,2053502719.55,15. 8. 2017,2017-08-15,2017,8,15,227,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-08-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,821936966.36,15. 8. 2017,2017-08-15,2017,8,15,227,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-08-15
Daň z hazardních her vyjma                       daně z technických her,1652475540,15. 8. 2017,2017-08-15,2017,8,15,227,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-08-15
DPH,241326938331.62,31. 8. 2017,2017-08-31,2017,8,31,243,DPH,2017 DPH,2000-08-31
DPPO,97714634768.62,31. 8. 2017,2017-08-31,2017,8,31,243,DPPO,2017 DPPO,2000-08-31
DPFO závislá činnost,107163368404.45,31. 8. 2017,2017-08-31,2017,8,31,243,DPFO závislá činnost,2017 DPFO závislá činnost,2000-08-31
DPFO zvláštní sazba,10706636973.4,31. 8. 2017,2017-08-31,2017,8,31,243,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-08-31
DPFO podávajících přiznání,2201251422.27,31. 8. 2017,2017-08-31,2017,8,31,243,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-08-31
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,822229242.33,31. 8. 2017,2017-08-31,2017,8,31,243,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-08-31
Daň z hazardních her vyjma                       daně z technických her,1666399595,31. 8. 2017,2017-08-31,2017,8,31,243,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-08-31
DPH,243114085659.53,15. 9. 2017,2017-09-15,2017,9,15,258,DPH,2017 DPH,2000-09-15
DPPO,126136455900.12,15. 9. 2017,2017-09-15,2017,9,15,258,DPPO,2017 DPPO,2000-09-15
DPFO závislá činnost,116191837344.48,15. 9. 2017,2017-09-15,2017,9,15,258,DPFO závislá činnost,2017 DPFO závislá činnost,2000-09-15
DPFO zvláštní sazba,11312364436.99,15. 9. 2017,2017-09-15,2017,9,15,258,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-09-15
DPFO podávajících přiznání,3629664087.95,15. 9. 2017,2017-09-15,2017,9,15,258,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-09-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,820633069.2,15. 9. 2017,2017-09-15,2017,9,15,258,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-09-15
Daň z hazardních her vyjma                       daně z technických her,1665721850,15. 9. 2017,2017-09-15,2017,9,15,258,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-09-15
DPH,272810789832.76,29. 9. 2017,2017-09-29,2017,9,29,272,DPH,2017 DPH,2000-09-29
DPPO,130391734827.65,29. 9. 2017,2017-09-29,2017,9,29,272,DPPO,2017 DPPO,2000-09-29
DPFO závislá činnost,121328646820.48,29. 9. 2017,2017-09-29,2017,9,29,272,DPFO závislá činnost,2017 DPFO závislá činnost,2000-09-29
DPFO zvláštní sazba,12170396105.17,29. 9. 2017,2017-09-29,2017,9,29,272,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-09-29
DPFO podávajících přiznání,4000891536.6,29. 9. 2017,2017-09-29,2017,9,29,272,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-09-29
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,821365420.2,29. 9. 2017,2017-09-29,2017,9,29,272,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-09-29
Daň z hazardních her vyjma                       daně z technických her,1671799850.5,29. 9. 2017,2017-09-29,2017,9,29,272,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-09-29
DPH,275091863357.26,15. 10. 2017,2017-10-15,2017,10,15,288,DPH,2017 DPH,2000-10-15
DPPO,134695087103.82,15. 10. 2017,2017-10-15,2017,10,15,288,DPPO,2017 DPPO,2000-10-15
DPFO závislá činnost,129493566300.92,15. 10. 2017,2017-10-15,2017,10,15,288,DPFO závislá činnost,2017 DPFO závislá činnost,2000-10-15
DPFO zvláštní sazba,12744383781.78,15. 10. 2017,2017-10-15,2017,10,15,288,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-10-15
DPFO podávajících přiznání,4147384617.4,15. 10. 2017,2017-10-15,2017,10,15,288,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-10-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,822286321.3,15. 10. 2017,2017-10-15,2017,10,15,288,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-10-15
Daň z hazardních her vyjma                       daně z technických her,1670636831.19,15. 10. 2017,2017-10-15,2017,10,15,288,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-10-15
DPH,314414714140.53,31. 10. 2017,2017-10-31,2017,10,31,304,DPH,2017 DPH,2000-10-31
DPPO,136033498561.07,31. 10. 2017,2017-10-31,2017,10,31,304,DPPO,2017 DPPO,2000-10-31
DPFO závislá činnost,135613869100.81,31. 10. 2017,2017-10-31,2017,10,31,304,DPFO závislá činnost,2017 DPFO závislá činnost,2000-10-31
DPFO zvláštní sazba,13535631711.96,31. 10. 2017,2017-10-31,2017,10,31,304,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-10-31
DPFO podávajících přiznání,4391417715.83,31. 10. 2017,2017-10-31,2017,10,31,304,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-10-31
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,822312499.3,31. 10. 2017,2017-10-31,2017,10,31,304,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-10-31
Daň z hazardních her vyjma                       daně z technických her,2538789448.19,31. 10. 2017,2017-10-31,2017,10,31,304,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-10-31
DPH,316217033195.96,15. 11. 2017,2017-11-15,2017,11,15,319,DPH,2017 DPH,2000-11-15
DPPO,136460885229.19,15. 11. 2017,2017-11-15,2017,11,15,319,DPPO,2017 DPPO,2000-11-15
DPFO závislá činnost,145290705138.69,15. 11. 2017,2017-11-15,2017,11,15,319,DPFO závislá činnost,2017 DPFO závislá činnost,2000-11-15
DPFO zvláštní sazba,14072367571.9,15. 11. 2017,2017-11-15,2017,11,15,319,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-11-15
DPFO podávajících přiznání,4515167855.98,15. 11. 2017,2017-11-15,2017,11,15,319,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-11-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,822463654.3,15. 11. 2017,2017-11-15,2017,11,15,319,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-11-15
Daň z hazardních her vyjma                       daně z technických her,2539073155.19,15. 11. 2017,2017-11-15,2017,11,15,319,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-11-15
DPH,346331422829.91,30. 11. 2017,2017-11-30,2017,11,30,334,DPH,2017 DPH,2000-11-30
DPPO,136300635179.62,30. 11. 2017,2017-11-30,2017,11,30,334,DPPO,2017 DPPO,2000-11-30
DPFO závislá činnost,150517024689.48,30. 11. 2017,2017-11-30,2017,11,30,334,DPFO závislá činnost,2017 DPFO závislá činnost,2000-11-30
DPFO zvláštní sazba,14618221179.02,30. 11. 2017,2017-11-30,2017,11,30,334,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-11-30
DPFO podávajících přiznání,4675246923.66,30. 11. 2017,2017-11-30,2017,11,30,334,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-11-30
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,822490401.3,30. 11. 2017,2017-11-30,2017,11,30,334,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-11-30
Daň z hazardních her vyjma                       daně z technických her,2540154952.19,30. 11. 2017,2017-11-30,2017,11,30,334,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-11-30
DPH,349651398890.98,15. 12. 2017,2017-12-15,2017,12,15,349,DPH,2017 DPH,2000-12-15
DPPO,166886832432.74,15. 12. 2017,2017-12-15,2017,12,15,349,DPPO,2017 DPPO,2000-12-15
DPFO závislá činnost,162721748979.6,15. 12. 2017,2017-12-15,2017,12,15,349,DPFO závislá činnost,2017 DPFO závislá činnost,2000-12-15
DPFO zvláštní sazba,15252878768.66,15. 12. 2017,2017-12-15,2017,12,15,349,DPFO zvláštní sazba,2017 DPFO zvláštní sazba,2000-12-15
DPFO podávajících přiznání,7083369847.37,15. 12. 2017,2017-12-15,2017,12,15,349,DPFO podávajících přiznání,2017 DPFO podávajících přiznání,2000-12-15
ODVOD Z LOTERIÍ dle                    § 41b odst. 1 z.č. 202/1990 Sb.,822490968.3,15. 12. 2017,2017-12-15,2017,12,15,349,ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2017 ODVOD Z LOTERIÍ dle § 41b odst. 1 z.č. 202/1990 Sb.,2000-12-15
Daň z hazardních her vyjma                       daně z technických her,2545484665.19,15. 12. 2017,2017-12-15,2017,12,15,349,Daň z hazardních her vyjma daně z technických her,2017 Daň z hazardních her vyjma daně z technických her,2000-12-15
DPH,381684695987.06,31. 12. 2017,2017-12-31,2017,12,31,365,DPH,2017 DPH,2000-12-31
